pickup_datetime,dropoff_datetime,passenger_count,trip_distance
2023-01-03 01:27:36,2023-01-01 01:27:43,0,0.00
2023-01-03 01:49:30,2023-01-01 02:02:16,1,2.56
2023-01-03 01:30:39,2023-01-01 02:20:23,2,14.97
2023-01-03 01:27:06,2023-01-01 01:30:39,5,0.62
2023-01-03 01:43:43,2023-01-01 01:51:28,5,0.87
2023-01-03 01:11:01,2023-01-01 01:11:06,2,0.01
2023-01-03 01:45:26,2023-01-01 01:52:36,5,0.86
2023-01-03 01:40:56,2023-01-01 01:53:39,5,2.38
2023-01-03 01:11:13,2023-01-01 01:11:36,1,0.00
2023-01-03 01:53:59,2023-01-02 00:00:00,1,2.64
2023-01-03 01:39:04,2023-01-01 02:00:43,1,11.34
2023-01-03 01:40:51,2023-01-01 01:47:06,1,1.61
2023-01-03 01:20:45,2023-01-01 01:27:18,1,2.00
2023-01-03 01:41:01,2023-01-01 01:56:39,1,4.08
2023-01-03 01:23:22,2023-01-01 01:54:19,1,10.96
2023-01-03 01:22:37,2023-01-01 01:41:04,1,6.14
2023-01-03 01:52:58,2023-01-01 01:53:00,1,0.00
2023-01-03 01:39:41,2023-01-01 01:53:43,1,3.16
2023-01-03 01:20:03,2023-01-01 01:31:13,1,1.67
2023-01-03 01:25:46,2023-01-02 00:29:15,1,6.53
2023-01-03 01:57:54,2023-01-01 02:15:39,1,6.81
2023-01-03 01:20:33,2023-01-01 01:41:30,1,8.07
2023-01-03 01:25:25,2023-01-01 01:37:29,1,1.71
2023-01-03 01:04:34,2023-01-01 01:27:50,1,5.22
2023-01-03 01:12:44,2023-01-01 01:47:04,2,3.59
2023-01-03 01:33:08,2023-01-01 01:43:22,2,2.08
2023-01-03 01:26:25,2023-01-01 01:38:22,1,2.90
2023-01-03 01:26:44,2023-01-01 01:39:50,1,1.71
2023-01-03 00:57:39,2023-01-01 01:04:53,5,1.17
2023-01-03 01:39:41,2023-01-01 01:48:58,1,1.52
2023-01-03 01:15:34,2023-01-01 01:25:56,1,1.52
2023-01-03 01:35:02,2023-01-01 01:54:15,1,4.62
2023-01-03 01:04:05,2023-01-01 01:24:33,1,3.80
2023-01-03 02:28:20,2023-01-01 02:42:14,1,3.50
2023-01-03 02:06:48,2023-01-01 02:27:09,1,4.12
2023-01-03 02:50:52,2023-01-01 03:04:43,1,6.39
2023-01-03 02:23:49,2023-01-01 02:31:14,1,1.18
2023-01-03 02:36:03,2023-01-01 02:42:39,1,1.53
2023-01-03 02:16:55,2023-01-01 02:22:07,1,1.10
2023-01-03 02:29:20,2023-01-01 02:38:19,1,1.90
2023-01-03 02:18:51,2023-01-01 02:30:33,1,1.75
2023-01-03 02:08:19,2023-01-01 02:19:49,1,4.29
2023-01-03 02:27:13,2023-01-01 02:47:12,1,3.50
2023-01-03 02:07:45,2023-01-01 02:19:33,1,1.70
2023-01-03 02:33:55,2023-01-01 02:56:39,1,4.29
2023-01-03 02:55:37,2023-01-01 03:09:26,1,3.92
2023-01-03 02:50:56,2023-01-01 03:06:10,1,3.84
2023-01-03 02:03:52,2023-01-01 02:03:57,2,0.01
2023-01-03 02:01:43,2023-01-01 02:03:43,1,0.32
2023-01-03 02:06:40,2023-01-01 02:13:56,1,1.68
2023-01-03 02:31:38,2023-01-01 02:44:26,1,3.11
2023-01-04 02:21:04,2023-01-01 02:28:00,1,1.26
2023-01-04 02:36:36,2023-01-01 02:49:44,1,2.10
2023-01-04 02:23:48,2023-01-01 02:35:09,1,5.34
2023-01-04 02:47:13,2023-01-01 02:51:15,1,0.80
2023-01-04 02:18:16,2023-01-01 02:22:01,1,0.82
